iter	Passed	Remaining
622	41677	11840
623	41742	11773
624	41810	11706
625	41879	11640
626	41946	11573
627	42012	11506
628	42078	11439
629	42145	11372
630	42212	11305
631	42278	11238
632	42345	11171
633	42412	11104
634	42478	11037
635	42542	10970
636	42609	10903
637	42676	10836
638	42744	10769
639	42818	10704
640	42898	10641
641	42977	10576
642	43049	10511
643	43119	10445
644	43183	10377
645	43243	10308
646	43305	10240
647	43368	10172
648	43433	10105
649	43499	10038
650	43568	9971
651	43637	9905
652	43704	9838
653	43768	9770
654	43830	9702
655	43894	9635
656	43956	9567
657	44020	9499
658	44085	9432
659	44150	9365
660	44214	9297
661	44280	9230
662	44345	9163
663	44412	9096
664	44477	9029
665	44542	8962
666	44606	8894
667	44641	8821
668	44705	8754
669	44768	8686
670	44832	8619
671	44896	8551
672	44960	8484
673	45022	8416
674	45086	8349
675	45149	8281
676	45212	8214
677	45276	8147
678	45338	8079
679	45400	8011
680	45463	7944
681	45527	7877
682	45593	7810
683	45656	7742
684	45718	7675
685	45780	7607
686	45844	7540
687	45908	7473
688	45971	7406
689	46005	7334
690	46068	7266
691	46131	7199
692	46196	7132
693	46261	7065
694	46325	6998
695	46390	6931
696	46409	6858
697	46474	6791
698	46540	6724
699	46602	6657
700	46636	6586
701	46700	6519
702	46764	6452
703	46827	6385
704	46893	6319
705	46957	6252
706	46992	6181
707	47059	6115
708	47126	6048
709	47191	5981
710	47210	5909
711	47275	5842
712	47315	5773
713	47381	5706
714	47444	5640
715	47509	5573
716	47577	5507
717	47642	5441
718	47708	5374
719	47797	5310
720	47869	5245
721	47937	5178
722	48012	5113
723	48084	5047
724	48149	4980
725	48218	4914
726	48288	4848
727	48357	4782
728	48426	4716
729	48493	4650
730	48563	4583
731	48631	4517
732	48699	4451
733	48769	4385
734	48838	4319
735	48906	4252
736	48972	4186
737	49039	4119
738	49106	4053
739	49172	3986
740	49239	3920
741	49305	3854
742	49372	3787
743	49438	3721
744	49505	3654
745	49571	3588
746	49639	3521
747	49705	3455
748	49772	3389
749	49839	3322
750	49907	3256
751	49975	3189
752	50042	3123
753	50109	3057
754	50178	2990
755	50243	2924
756	50309	2857
757	50374	2791
758	50441	2724
759	50507	2658
760	50574	2591
761	50641	2525
762	50706	2458
763	50770	2392
764	50838	2325
765	50904	2259
766	50969	2192
767	51034	2126
768	51099	2059
769	51165	1993
770	51231	1926
771	51250	1858
772	51314	1792
773	51333	1724
774	51401	1658
775	51466	1591
776	51500	1524
777	51566	1458
778	51601	1391
779	51666	1324
780	51733	1258
781	51800	1192
782	51865	1126
783	51933	1059
784	51999	993
785	52063	927
786	52082	860
787	52148	794
788	52159	727
789	52225	661
790	52291	594
791	52356	528
792	52423	462
793	52488	396
794	52552	330
795	52618	264
796	52683	198
797	52749	132
798	52817	66
799	52884	0
